pair	err_p0n0	err_p0n1	err_p1n0	err_p1n1
eb	0.0065	0.0153	0.0510	0.0338
ec	0.0089	0.0209	0.0688	0.0459
ed	0.0057	0.0135	0.0452	0.0299
ee	0.0003	0.0007	0.0024	0.0016
ef	0.0042	0.0099	0.0333	0.0219
eg	0.0042	0.0099	0.0333	0.0219
eh	0.0025	0.0060	0.0203	0.0133
ei	0.0018	0.0041	0.0142	0.0093
ej	0.0025	0.0060	0.0203	0.0133
ek	0.0025	0.0060	0.0203	0.0133
el	0.0025	0.0060	0.0203	0.0133
em	0.0039	0.0093	0.0313	0.0206
en	0.0039	0.0093	0.0313	0.0206
eo	0.0018	0.0041	0.0142	0.0093
ep	0.0018	0.0041	0.0142	0.0093
